,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
sucrose,-1.9158918723710732e-13,-1.9252849669144681e-13,-1.810306835485789e-13,-1.6545999146978033e-12,-8.716228489044641e-12,-1.1340280200254885e-11,-1.4020211590624244e-12,-5.1356524842617885e-14,-1.6431487261899743e-28,-2.4130311758985497e-11,-4.775529909870711e-15,-4.435742940254293e-15,-2.873747279222146e-13,-7.090921366599604e-15,1.3275627535981405e-13
trehalose,9.201845664279324e-13,4.508039219666797e-12,3.24081074880454e-11,-6.546116031892003e-12,-9.059931424755577e-13,-2.2104775841726324e-12,-2.123851884839904e-12,4.125997858589533e-13,2.2773091943918917e-22,-1.2607256234079024e-12,-2.518746616425388e-12,-1.9999915611861306e-13,-9.17986550423185e-12,2.9929392820473837e-16,-7.004838211315713e-12
myo-inositol,-2.1036524509956637e-13,-1.2036033931457225e-12,1.4473166166475634e-14,-9.017896112932329e-13,-2.2203704539994207e-12,-2.4369063942379167e-12,-4.139852743178769e-12,-8.204859946660777e-14,-4.541910114609614e-23,-1.255143285493612e-12,-1.7669574871081809e-12,-3.5511990583808163e-13,8.890503288797245e-16,1.4663417151489904e-16,-2.452636717626007e-13
xylose,-3.154640145629313e-12,-1.4704847234321293e-12,-5.32639622276322e-12,-2.300093166628977e-11,-1.1221858528563727e-11,-2.4022180170976623e-11,-4.6312560527021954e-12,-2.9461985359214595e-14,-1.1820494541500737e-23,-4.816716180305818e-12,-2.180399447911411e-12,-2.7408548860938873e-14,-7.624849593291575e-12,-2.4158274790469143e-14,-3.6166861973631552e-12
mannitol,2.2928466125945665e-13,-1.7229211088011209e-12,-3.530991084232462e-11,-3.326085589559128e-13,-1.5342331436034105e-13,-1.5537652670257602e-14,-1.0265095690890368e-11,3.4824325188821716e-14,-2.7858387501470338e-27,-1.3109551895551168e-11,-4.6189852685739416e-12,-1.568819227753937e-13,-9.664856849784605e-12,-1.5985815499634043e-14,-4.3872959275351666e-12
N-acetyl-glucosamine,-1.2780403876188999e-11,-1.2686099724638724e-11,-4.065911277439915e-13,-7.174771419172072e-12,-4.2794875216756194e-12,-1.2125954814893809e-11,-9.694420866453306e-12,2.144664486505736e-13,1.0242710154307618e-27,-7.058147732326801e-12,-9.049600807373336e-11,-4.334300568096166e-12,-8.833088513058974e-12,-5.126112709931113e-15,-1.3316007006730808e-11
Glucose,-1.2010072159206071e-11,-1.097056667194956e-11,-3.960285197102768e-12,-1.6639012093222123e-11,-7.861185875269778e-12,-1.0601256863086134e-11,-2.0601345291830567e-11,-1.5292833594557297e-11,-1.3077562912045394e-21,-6.232099080889287e-12,-2.443319269894669e-12,-2.193899150408878e-12,-9.599286318483809e-12,-3.989857634187464e-11,-2.1886630673951166e-11
lactic acid,1.0420034305143567e-13,-1.1867830693407727e-11,-8.441244379306407e-11,-1.115653380042379e-12,-1.0074997521334169e-12,-1.1953314890978177e-12,-1.2674816949969917e-12,-1.9767722465980288e-11,-1.3796490279620591e-24,-2.1847300644136112e-13,-1.5215620577226018e-12,-3.2012381962697823e-14,-5.360279446324625e-16,-2.937404426799138e-15,-2.0007013448876922e-13
malic acid,-6.321555650075407e-13,-1.5117548083566534e-11,-6.580586280620495e-11,-1.1142058144278964e-12,-1.380949612761746e-13,-6.942363259779844e-14,-2.4067035083975823e-11,-2.6287771060959673e-14,-3.7540209698719506e-15,-3.1976928949582774e-13,-3.103802219029631e-12,-1.714105489434935e-13,-5.980352928316233e-16,-7.018381476833631e-15,-7.87405897976702e-14
