,Lysobacter,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus
sucrose,-0.09007931523703894,-0.08420915081161962,0.10090658964877797,-0.9999992775563908,-0.9999992555269016,-0.9999992555269016,-0.9999992555269016,0.00807252717190221,0.15109363714049984,-0.9999991030525365,-0.1847949578819269,0.05229664031748138,-0.4970259211516369,-0.010758199963295523,0.04052955700098804
trehalose,0.13566068734685932,0.07941770018716898,1.4638420482836185,-0.9999989593404022,-0.9999988995611948,-0.9999988995611948,-0.9998877795890753,0.3921337353210035,1.5245917824798179,-0.8785828869120998,-0.9520573068227833,-0.2363365465114411,-0.7734388582460279,0.007669539350733112,-0.9999971061574314
myo-inositol,-0.242912233320842,-0.9991059522913167,0.06923647009867606,-0.8584082497916294,-0.8266287825867668,-0.9270040531007413,-0.9999999165547492,-0.13423397264029036,-0.1628384009722017,-0.6417882759341802,-0.6998173647821124,-0.29340254334050464,0.9717343438090178,0.09126399937098029,-0.2717799854279668
xylose,-0.9923891202743814,-0.9739597926244034,-0.9991921314070104,-0.9853195554022527,-0.9980107701387414,-0.9968538306560519,-0.9987768368743745,-0.01142321479883357,-0.047944667582632605,-0.9233112484513889,-0.6538790843404988,0.15728126657580055,-0.9708615462331411,-0.3080560068639442,-0.2015675106640622
mannitol,0.11736941090309827,-0.9997897945391075,-0.9999995308606326,-0.07139339301675451,-0.4382461420095033,-0.07900453319412082,-0.9999996317833308,0.07154375352074416,0.0509297424192956,-0.9994666127000015,-0.9999440976691844,-0.02998806883788463,-0.9941691932828346,-0.11237094433969275,-0.9996854836267025
N-acetyl-glucosamine,-0.9943262037938497,-0.9840909249446763,-0.14423783127312706,-0.9998982029991246,-0.9984882369773098,-0.9994473700638234,-0.9892769329770648,0.2453701037749747,0.10300736642614794,-0.9829581676025915,-0.9940315106398211,-0.9947693775030344,-0.9863185141095177,-0.18391482392427494,-0.9922904829788664
Glucose,-0.964855112332739,-0.9708577062200664,-0.9643145561830946,-0.9887723450538703,-0.9878401959556957,-0.9775649450008868,-0.999984459505023,0.12513513304315738,-0.01851905597060388,-0.9882038206207219,-0.9923193198613818,-0.9331805149305267,-0.975285630567862,-0.7911122826530711,-0.9883427674718377
lactic acid,0.25097136541926934,-0.9982260729890953,-0.99821625215932,-0.9355125770363203,-0.9622287321255112,-0.7732783619209302,-0.9991637893368086,-0.6906305742120021,-0.9906957121193387,-0.4683855512906665,-0.48579699728659975,0.0961026376169749,0.31212253862635464,-0.07084198003334197,0.03446538879609751
malic acid,-0.3746695177199262,-0.9999714015675845,-0.9990717252388045,-0.8296194528465435,-0.40256463010811383,-0.3673771008996054,-0.9997036972554358,-0.1555597354467767,-0.9991103636811879,-0.513571849788266,-0.9304160043054978,-0.25259597274159984,0.013927923964254907,-0.0740702755984024,-0.13293058530998347
citric acid,0.2228003928148401,-0.9999997650051016,-0.9999997378424433,-0.5408224748591876,-0.034737962413881496,0.45141429510612197,-0.9999997650051016,-0.9999997378424433,1.70557736662371,-0.9999997378424433,-0.9999997377720805,-0.9999998033238273,0.7403230842301656,-0.24642093138061538,-0.3014410798978475
