i,j,k,$W_i$,$W_j$,$W_i*W_j$,$W_{ij}$,$\epsilon$,direction
Arthrobacter,Bacillus,Bosea,0.9135238427081006,0.0,0.0,0.50489969587553,1.0,deleterious
Arthrobacter,Bacillus,Burkholderia,3.864699688753188,5.8496757840655365,22.60724018198514,2.9686247418726195,-0.7678573334109676,beneficial
Arthrobacter,Bacillus,Chitinophaga,5.18588807893767,0.13531385106441565,0.7017224871501004,0.21418101022161012,-0.5323066003433179,deleterious
Arthrobacter,Bacillus,Lysobacter,0.08417155315074704,3.4009753182534537,0.2862653747647494,0.06119953096357117,-0.6477369083632147,deleterious
Arthrobacter,Bacillus,Mucilaginibacter,0.5089214490520578,0.2822757564699008,0.1436561870149277,0.778516914840067,0.6884398672527826,deleterious
Arthrobacter,Bacillus,Niastella,0.19803154912741794,0.012908552266840219,0.002556300602394611,0.01280436110251812,0.6671626976099551,deleterious
Arthrobacter,Bacillus,Rhizobium,0.16911934264281342,2.4292189625991023,0.41082791409021735,1.200126903869772,0.4899572483225027,reciprocal
Arthrobacter,Bacillus,Variovarax,0.2611976116445851,1.3825039411773365,0.36110672752474626,0.04563338832564811,-0.7756140270047382,deleterious
Arthrobacter,Bosea,Bacillus,0.0,12.815204265219961,0.0,0.0,0.0,deleterious
Arthrobacter,Bosea,Burkholderia,3.864699688753188,4.9193051887542785,19.011637231860604,3.5593261224943133,-0.6846101722275345,beneficial
Arthrobacter,Bosea,Chitinophaga,5.18588807893767,11.41487289823189,59.19625328552945,9.376474364051559,-0.7265246786749673,beneficial
Arthrobacter,Bosea,Lysobacter,0.08417155315074704,1.3028826497723127,0.10966565620449635,0.012507450579741593,-0.7952503474953748,deleterious
Arthrobacter,Bosea,Mucilaginibacter,0.5089214490520578,0.07616100204845178,0.038759967523754824,0.0008236153425675375,-0.9583860134465864,deleterious
Arthrobacter,Bosea,Niastella,0.19803154912741794,0.1890314488182719,0.03743419064328261,0.037550089984558416,0.001545648505331882,deleterious
Arthrobacter,Bosea,Rhizobium,0.16911934264281342,1.2179842043967164,0.20598468799690278,0.32507073077761434,0.22424409688826613,deleterious
Arthrobacter,Bosea,Variovarax,0.2611976116445851,0.6309933017563037,0.1648139433824775,0.19633033338209538,0.08726814192368651,deleterious
Arthrobacter,Brevibacillus,Bacillus,0.0,16.632580459025647,0.0,0.0,0.0,deleterious
Arthrobacter,Brevibacillus,Bosea,0.9135238427081006,0.4959021261783238,0.45301841591353975,0.46430617222300596,0.012305084214951847,deleterious
Arthrobacter,Brevibacillus,Burkholderia,3.864699688753188,3.3324205294146467,12.87880458282352,3.2786740024488683,-0.5941601921184171,beneficial
Arthrobacter,Brevibacillus,Chitinophaga,5.18588807893767,1.6600826146797119,8.609002641519195,6.092083728781231,-0.17120632103915254,beneficial
Arthrobacter,Brevibacillus,Lysobacter,0.08417155315074704,1.148939378176193,0.09670801193714368,0.0,-1.0,deleterious
Arthrobacter,Brevibacillus,Mucilaginibacter,0.5089214490520578,1.123900158512846,0.5719768972601951,0.5320443637841576,-0.03617007650583025,deleterious
Arthrobacter,Brevibacillus,Niastella,0.19803154912741794,0.09119672175151719,0.01805982808379504,0.18042203326749157,0.818020367595893,deleterious
Arthrobacter,Brevibacillus,Rhizobium,0.16911934264281342,2.3964419574509312,0.40528468852575855,0.25475833558612154,-0.2280553652425575,deleterious
Arthrobacter,Brevibacillus,Variovarax,0.2611976116445851,0.4001606217003162,0.10452099866233493,0.5108726447314222,0.6603117377491091,deleterious
Arthrobacter,Burkholderia,Bacillus,0.0,15.69866224075376,0.0,0.0,0.0,deleterious
Arthrobacter,Burkholderia,Bosea,0.9135238427081006,2.8577074373480094,2.610583879501672,0.4063002401062746,-0.7306490909176354,reciprocal
Arthrobacter,Burkholderia,Chitinophaga,5.18588807893767,0.275656244639964,1.4295224329631153,1.5995369997598519,0.05612784119059106,beneficial
Arthrobacter,Burkholderia,Lysobacter,0.08417155315074704,5.939229257092673,0.4999141510878477,0.09125511705153239,-0.6912724596163644,deleterious
Arthrobacter,Burkholderia,Mucilaginibacter,0.5089214490520578,0.7137454042161776,0.36324034536794386,1.2339159986873631,0.5451411545025734,reciprocal
Arthrobacter,Burkholderia,Niastella,0.19803154912741794,0.07525942357893886,0.014903740237773787,0.0,-1.0,deleterious
Arthrobacter,Burkholderia,Rhizobium,0.16911934264281342,2.1604876393799217,0.3653802493598561,0.8372175576071176,0.392348385731107,deleterious
Arthrobacter,Burkholderia,Variovarax,0.2611976116445851,0.6027555229218836,0.15743830299277897,1.5993456064999814,0.8207653176442895,reciprocal
Arthrobacter,Chitinophaga,Bacillus,0.0,17.10751991229523,0.0,0.0,0.0,deleterious
Arthrobacter,Chitinophaga,Bosea,0.9135238427081006,0.0,0.0,1.0335014665562254,1.0,reciprocal
Arthrobacter,Chitinophaga,Burkholderia,3.864699688753188,3.5766359922454973,13.822624006014625,4.862951650373322,-0.4794967262664077,beneficial
Arthrobacter,Chitinophaga,Lysobacter,0.08417155315074704,0.7575646714598242,0.0637653950089088,0.0,-1.0,deleterious
Arthrobacter,Chitinophaga,Mucilaginibacter,0.5089214490520578,0.46471766624252486,0.23650478810423634,0.8407635399287252,0.5609175876615953,deleterious
Arthrobacter,Chitinophaga,Niastella,0.19803154912741794,0.02735606175722097,0.005417363287807783,0.0331908370904768,0.7193672207081264,deleterious
Arthrobacter,Chitinophaga,Rhizobium,0.16911934264281342,2.7322304218483975,0.4620730128916978,0.004127953094901121,-0.9822911002075454,deleterious
Arthrobacter,Chitinophaga,Variovarax,0.2611976116445851,0.2597319624031679,0.06784136824746864,1.3426481476488645,0.903804505481408,reciprocal
Arthrobacter,Lysobacter,Bacillus,0.0,10.291889179650026,0.0,0.0,0.0,deleterious
Arthrobacter,Lysobacter,Bosea,0.9135238427081006,0.48603649547428,0.4440059270420426,0.31879761331963274,-0.16414228185548754,deleterious
Arthrobacter,Lysobacter,Burkholderia,3.864699688753188,5.784293841813896,22.354558610115145,2.5891359460460386,-0.7924015674408976,beneficial
Arthrobacter,Lysobacter,Chitinophaga,5.18588807893767,0.5284793711448729,2.740634870784673,5.628257320126931,0.34504237639458896,beneficial
Arthrobacter,Lysobacter,Mucilaginibacter,0.5089214490520578,0.9007631080572123,0.4584176662051118,0.9772350608380119,0.36138084430867806,deleterious
Arthrobacter,Lysobacter,Niastella,0.19803154912741794,0.04449707663574843,0.008811825017818697,0.09308006279523774,0.8270357884822789,deleterious
Arthrobacter,Lysobacter,Rhizobium,0.16911934264281342,1.5899745493075694,0.26889545059769965,0.033422870865849656,-0.7788895446094921,deleterious
Arthrobacter,Lysobacter,Variovarax,0.2611976116445851,0.27347951809164917,0.07143219695925086,0.35254748467684843,0.6630395273490444,deleterious
Arthrobacter,Marmoricola,Bacillus,0.0,38.28484030587045,0.0,3.385667163803452,1.0,reciprocal
Arthrobacter,Marmoricola,Bosea,0.9135238427081006,0.0,0.0,0.8015967954620667,1.0,deleterious
Arthrobacter,Marmoricola,Burkholderia,3.864699688753188,3.0574588634671507,11.816160318017173,3.1149709415958524,-0.582754864660324,beneficial
Arthrobacter,Marmoricola,Chitinophaga,5.18588807893767,0.08464817282892914,0.4389759503773992,1.692091544336141,0.5880224803143491,reciprocal
Arthrobacter,Marmoricola,Lysobacter,0.08417155315074704,1.7475352985949653,0.14709276026849272,0.008958188368553823,-0.8851889277598771,deleterious
Arthrobacter,Marmoricola,Mucilaginibacter,0.5089214490520578,0.24020865797260854,0.12224733829027008,0.8845029536500052,0.7571446678109881,deleterious
Arthrobacter,Marmoricola,Niastella,0.19803154912741794,0.0,0.0,0.015631170613326834,1.0,deleterious
Arthrobacter,Marmoricola,Rhizobium,0.16911934264281342,1.792178642729136,0.303092073956841,0.6357461193932754,0.354325215774833,deleterious
Arthrobacter,Marmoricola,Variovarax,0.2611976116445851,0.1707891944222496,0.044609729677794294,0.018965033876753853,-0.4033785478264011,deleterious
Arthrobacter,Methylobacterium,Bacillus,0.0,16.012820980979953,0.0,0.0,0.0,deleterious
Arthrobacter,Methylobacterium,Bosea,0.9135238427081006,0.5258170298834738,0.48034639370051113,0.6480718793864255,0.14863769019539116,deleterious
