,"('1319', '1319')","('1320', '1319')","('1321', '1319')","('1323', '1319')","('1324', '1319')","('1325', '1319')","('1327', '1319')","('1329', '1319')","('1330', '1319')","('1331', '1319')","('1334', '1319')","('1337', '1319')","('1319', '1320')","('1320', '1320')","('1321', '1320')","('1323', '1320')","('1324', '1320')","('1325', '1320')","('1327', '1320')","('1329', '1320')","('1330', '1320')","('1331', '1320')","('1334', '1320')","('1337', '1320')","('1319', '1321')","('1320', '1321')","('1321', '1321')","('1323', '1321')","('1324', '1321')","('1325', '1321')","('1327', '1321')","('1329', '1321')","('1330', '1321')","('1331', '1321')","('1334', '1321')","('1337', '1321')","('1319', '1323')","('1320', '1323')","('1321', '1323')","('1323', '1323')","('1324', '1323')","('1325', '1323')","('1327', '1323')","('1329', '1323')","('1330', '1323')","('1331', '1323')","('1334', '1323')","('1337', '1323')","('1319', '1324')","('1320', '1324')","('1321', '1324')","('1323', '1324')","('1324', '1324')","('1325', '1324')","('1327', '1324')","('1329', '1324')","('1330', '1324')","('1331', '1324')","('1334', '1324')","('1337', '1324')","('1319', '1325')","('1320', '1325')","('1321', '1325')","('1323', '1325')","('1324', '1325')","('1325', '1325')","('1327', '1325')","('1329', '1325')","('1330', '1325')","('1331', '1325')","('1334', '1325')","('1337', '1325')","('1319', '1327')","('1320', '1327')","('1321', '1327')","('1323', '1327')","('1324', '1327')","('1325', '1327')","('1327', '1327')","('1329', '1327')","('1330', '1327')","('1331', '1327')","('1334', '1327')","('1337', '1327')","('1338', '1538')","('1336', '1538')","('1538', '1538')","('1602', '1538')","('1602', '1329')","('1597', '1329')","('1602', '1330')","('1597', '1338')","('1597', '1538')","('1319', '1329')","('1320', '1329')","('1321', '1329')","('1323', '1329')","('1324', '1329')","('1325', '1329')","('1327', '1329')","('1329', '1329')","('1330', '1329')","('1331', '1329')","('1334', '1329')","('1337', '1329')","('1319', '1330')","('1320', '1330')","('1321', '1330')","('1323', '1330')","('1324', '1330')","('1325', '1330')","('1327', '1330')","('1329', '1330')","('1330', '1330')","('1331', '1330')","('1337', '1330')","('1319', '1331')","('1320', '1331')","('1321', '1331')","('1323', '1331')","('1324', '1331')","('1325', '1331')","('1327', '1331')","('1330', '1331')","('1331', '1331')","('1337', '1331')","('1319', '1334')","('1320', '1334')","('1321', '1334')","('1323', '1334')","('1324', '1334')","('1325', '1334')","('1327', '1334')","('1329', '1334')","('1330', '1334')","('1331', '1334')","('1334', '1334')","('1337', '1334')","('1319', '1337')","('1320', '1337')","('1321', '1337')","('1323', '1337')","('1324', '1337')","('1325', '1337')","('1327', '1337')","('1329', '1337')","('1330', '1337')","('1331', '1337')","('1334', '1337')","('1337', '1337')","('1319', '1338')","('1320', '1338')","('1321', '1338')","('1323', '1338')","('1324', '1338')","('1325', '1338')","('1327', '1338')","('1329', '1338')","('1330', '1338')","('1331', '1338')","('1334', '1338')","('1337', '1338')","('1319', '1336')","('1320', '1336')","('1321', '1336')","('1323', '1336')","('1324', '1336')","('1325', '1336')","('1327', '1336')","('1329', '1336')","('1330', '1336')","('1331', '1336')","('1334', '1336')","('1337', '1336')","('1319', '1538')","('1320', '1538')","('1321', '1538')","('1323', '1538')","('1324', '1538')","('1325', '1538')","('1329', '1538')","('1330', '1538')","('1331', '1538')","('1334', '1538')","('1337', '1538')","('1338', '1329')","('1336', '1329')","('1538', '1329')","('1338', '1330')","('1336', '1330')","('1538', '1330')","('1338', '1331')","('1538', '1331')","('1602', '1331')","('1338', '1319')","('1338', '1320')","('1338', '1321')","('1338', '1323')","('1338', '1324')","('1338', '1325')","('1336', '1319')","('1336', '1320')","('1336', '1321')","('1336', '1323')","('1336', '1324')","('1336', '1325')","('1538', '1319')","('1538', '1320')","('1538', '1321')","('1538', '1323')","('1538', '1324')","('1538', '1325')","('1602', '1319')","('1602', '1320')","('1602', '1321')","('1602', '1323')","('1602', '1324')","('1602', '1325')","('1338', '1327')","('1336', '1327')","('1538', '1327')","('1602', '1327')","('1338', '1334')","('1338', '1337')","('1338', '1338')","('1338', '1336')","('1336', '1334')","('1336', '1337')","('1336', '1338')","('1336', '1336')","('1538', '1334')","('1538', '1337')","('1538', '1338')","('1538', '1336')"
od,0.7,1.27,0.82,1.51,1.09,1.17,1.25,0.97,0.72,2.16,1.85,0.92,0.69,1.35,0.46,0.75,0.99,1.65,1.17,0.72,1.04,1.65,1.85,0.84,0.29,0.53,0.61,1.78,1.26,1.33,1.44,0.39,0.56,1.73,2.23,0.63,1.27,1.71,1.56,1.36,1.38,1.24,1.71,1.56,1.38,1.93,2.04,1.4,0.97,1.06,1.3,1.52,0.69,1.31,1.43,1.4,0.78,1.79,2.17,0.64,1.12,1.7,1.25,1.32,1.15,1.29,1.59,1.31,1.36,1.75,1.95,1.0,1.78,1.23,1.58,1.73,1.42,1.36,1.3,1.4,1.46,1.48,1.72,0.93,0.58,0.4,0.38,1.26,1.16,0.72,1.0,0.76,0.8,0.74,0.54,0.18,1.54,1.08,1.14,1.04,0.2,0.2,1.36,1.82,0.72,0.62,0.8,0.34,1.42,0.58,0.98,0.98,0.22,0.16,1.04,0.68,2.0,1.24,1.26,1.44,0.9,1.28,0.98,0.92,0.96,1.66,2.48,1.22,1.92,1.7,1.4,1.36,1.24,1.72,1.98,1.38,1.6,1.88,1.16,0.74,0.78,1.02,0.6,0.88,1.2,0.58,0.52,1.48,1.54,0.66,0.82,0.88,0.88,1.24,0.5,1.02,1.04,0.84,0.6,0.78,1.56,0.68,0.52,0.82,0.38,1.12,0.5,0.98,1.06,0.44,0.24,0.9,2.22,0.56,0.44,0.98,0.8,0.72,0.5,0.54,0.66,0.44,1.0,1.26,0.42,1.04,0.4,0.62,0.62,0.3,0.36,0.82,0.7,1.26,0.96,0.96,1.26,1.22,0.54,1.26,0.74,0.94,0.46,1.42,0.64,1.16,0.5,0.74,0.84,0.82,0.54,0.56,1.14,1.14,1.22,1.48,1.22,1.2,1.26,1.32,0.84,1.34,1.66,0.68,0.02,0.12,2.02,0.34,0.1,0.1,1.0,0.26,0.34,0.26
1,9014,465,4250,1370,4269,2897,1922,7726,9070,5218,5307,6507,766,0,0,0,0,0,0,0,0,0,0,0,2740,0,0,0,0,0,0,0,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,3863,0,0,0,0,0,0,0,0,0,0,0,2810,13,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2370,10,0,0,0,0,0,0,0,0,0,0,3360,0,0,0,0,0,0,0,0,0,0,2083,10,3,0,0,0,0,0,0,0,1873,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,2743,8,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592,11,0,0,0,0,9532,0,0,0,0,0,1614,0,0,0,0,0,15,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,8925,0,0,0,0,0,0,31,931,0,0,7674,9714,6594,4546,4508,5742,2893,8052,10172,4936,6312,8073,0,7520,0,0,0,0,0,0,0,0,0,0,0,3653,0,0,0,0,0,0,0,0,0,0,0,4944,0,0,0,0,0,0,0,0,0,0,0,4740,0,0,0,0,0,0,0,0,0,0,0,3317,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2518,0,0,0,0,0,2,0,0,0,0,0,3613,0,0,0,0,0,4,0,0,0,0,1920,4,0,0,0,0,0,0,0,6,2148,0,0,0,0,0,0,0,0,0,0,0,2998,0,0,0,0,0,0,0,0,0,0,21,1674,0,0,0,0,0,0,0,0,0,0,23,2000,9,0,0,0,0,0,0,0,0,0,36,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,4512,14,0,0,0,37,7414,24,6,0,0,0,6290,0,0,0,0,0,342,8,0,0,0,312,0,0,0,0,0,73,50,13,0,8,29,0,0,0,0
3,0,6,3492,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,6,5390,1886,9804,1831,4953,3728,1875,8032,9812,4982,4475,3041,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,4494,0,0,0,0,469,0,0,0,0,0,13,2630,0,0,0,0,0,0,0,0,0,0,0,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1402,6,0,0,0,0,0,0,0,0,0,0,3317,0,0,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,9,2851,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3906,4,0,0,0,11,5887,9,0,0,0,0,3205,0,0,0,0,4,137,0,0,0,2,0,0,0,0,0,4,13,0,0,0,4,0,0,0,0
4,6,0,0,12440,0,0,0,0,0,0,0,0,0,0,0,7278,0,0,0,0,0,0,0,0,0,0,8,11814,0,12,0,0,0,2,0,0,7762,8135,8637,12790,9946,8868,3773,12761,11565,9844,10138,7536,2,0,0,13124,0,0,0,0,0,0,0,0,0,0,80,8086,0,0,0,0,0,0,0,0,0,0,0,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3099,0,0,0,0,0,0,0,0,0,0,0,3130,0,0,0,20,0,3,0,0,0,0,3536,0,0,0,0,0,0,0,0,59,2979,0,0,0,0,0,0,0,0,0,0,40,2140,0,0,0,0,0,0,0,0,0,0,5,2392,0,0,0,0,0,0,0,0,11,0,47,3085,0,0,0,0,0,0,0,0,0,0,3,2516,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,19,7,7659,73,5,0,191,0,8783,156,0,0,0,0,7750,1758,3,0,0,0,2959,0,0,61,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,6337,3,0,0,0,0,0,0,0,0,0,0,5208,0,0,0,0,0,0,0,0,0,0,0,5623,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,4776,5332,5113,106,9663,267,1194,6587,11562,5875,6251,4387,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,1578,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1682,7,0,0,0,0,0,0,0,0,0,0,1304,5,0,23,2,0,0,0,0,0,0,1697,2,0,2,0,0,0,0,2,0,2028,0,0,0,0,0,0,0,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,0,2,0,4,2,2676,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,300,7,0,0,0,0,5147,4,0,4,10,11,8378,0,0,0,0,0,1861,0,0,0,0,0,3289,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,0,0,0,0,0,6712,0,0,0,0,0,0,0,0,0,0,0,6461,0,0,0,0,0,0,0,0,0,0,0,7649,0,0,0,0,0,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0,0,0,0,11444,0,0,0,0,0,7,5444,3897,6817,2809,9576,11056,2468,10951,10865,6260,7360,5421,0,0,0,0,2,3232,0,5,0,53,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2849,0,3,4,0,0,0,0,0,0,0,0,4447,0,0,0,2,0,0,0,0,0,16,2114,9,0,0,0,0,0,0,0,0,2060,7,24,0,0,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0,0,0,0,0,2703,0,0,0,0,0,0,0,0,0,0,0,2859,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,0,7222,0,0,0,0,0,11628,0,0,0,0,0,4481,0,0,0,0,0,3193,168,8,116,27,0,2,0,0,0,0,0,5,0,0,0,0
7,0,0,0,0,0,0,9431,0,0,0,0,0,0,0,0,0,2,0,6689,0,0,0,0,0,0,0,0,0,2,0,10072,2,0,0,0,0,0,0,0,0,0,2,5555,0,0,0,0,0,0,0,0,0,0,2,14606,0,5,3,0,0,0,0,0,0,0,0,6702,0,0,0,0,0,6932,7609,7232,5174,9249,6745,10126,11411,12151,7209,7003,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,5,0,0,0,0,0,0,0,0,0,3815,0,10,8,0,0,0,2,0,0,0,3074,18,5,0,0,0,0,0,0,0,2404,0,0,5,3,0,0,0,0,0,0,0,1877,0,0,0,0,962,0,0,0,0,0,7,2949,0,0,0,11,24,0,0,0,0,0,0,4111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,8735,8973,3667,1882,0,0,0,33,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,686,0,0,0,0,89,0,0,0,0,0,5,1130,0,0,0,0,0,0,0,0,0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,54,0,0,0,0,219,329,346,59,329,127,17,1213,1359,611,493,28,0,0,0,0,0,0,6,1916,3,19,0,0,0,0,0,0,0,3,27,6,0,0,0,0,0,0,0,0,745,4,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,8,1329,9,0,0,0,0,0,0,0,0,0,103,0,0,0,0,609,6718,169,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,51,5,0,0,20,59,0,0,428,73,13,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,63,8,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,318,5083,119,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,2,0,0,0,0,0,0,0,0,4687,0,0,0,0,0,0,0,0,0,0,0,5114,0,0,0,0,0,0,0,0,0,0,0,5708,0,0,0,0,0,0,0,0,0,0,0,2138,0,0,0,0,0,0,0,0,0,0,0,5655,0,0,0,0,0,0,0,0,0,0,0,3921,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2129,0,0,82,64,14,0,0,0,0,0,0,4623,0,1958,1968,1406,560,1303,1369,812,3157,4121,1021,0,0,4,0,11,0,4,0,0,1653,0,6,0,0,0,0,0,0,0,0,8,816,0,0,0,0,0,0,0,0,0,0,3,821,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,1814,1387,2,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
