,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
1319,0,"[0.950479233226837, 0.9092417061611374]","[0.45104624128132265, 0.6629766297662977]","[0.9007965242577842, 0.8697893321380546]","[0.5974919856684895, 0.5528417640930663]","[0.6595590016961473, 0.6985118118430638]","[0.7742656092929744, 0.8307055403858011]","[0.08155016642891108, 0.08458864426419467]","[0.013487056776158364, 0.014951627088830254]","[0.4845335313041326, 0.47319535588086825]","[0.4281866178213555, 0.4437184437184437]","[0.5070028011204482, 0.23103285275348617]","[0.5630706797429827, 0.5850727387729285]","[0.0, 0.0]","[0.8415316642120766, 0.8731431966726084]"
1320,"[0.04952076677316294, 0.09075829383886255]",0,"[0.20051031256644694, 0.20621162874684001]","[0.6155277401894452, 0.6901085850016967]","[0.5360230547550432, 0.5188789412222655]","[0.4511983327544286, 0.5294599688601164]","[0.6964122277137104, 0.6980797328323941]","[0.12306686996297103, 0.11556023884791009]","[0.0013819789939192924, 0.0018643901481699538]","[0.5088557213930348, 0.5061728395061729]","[0.3839977057642673, 0.3452961311067317]","[0.010055180870631515, 0.011865524060646011]","[0.4291497975708502, 0.40638297872340423]","[0.0, 0.0]","[0.3627293208883167, 0.1602136181575434]"
1321,"[0.5489537587186774, 0.3370233702337023]","[0.7994896874335531, 0.7937883712531599]",0,"[0.8658116526200074, 0.8936368339368856]","[0.5322160924326013, 0.5316754916792739]","[0.6723213500922914, 0.7216047422462157]","[0.8430568343517201, 0.7261773270408676]","[0.19794050343249428, 0.20835797358564953]","[0.0, 0.0]","[0.44047619047619047, 0.5339569691300281]","[0.36025732666190136, 0.378060413354531]","[0.7388578789179906, 0.49973361747469364]","[0.585995085995086, 0.455609756097561]","[0.0, 0.0]","[0.6996532658607441, 0.7924212872666481]"
1323,"[0.09920347574221579, 0.13021066786194532]","[0.38447225981055483, 0.30989141499830336]","[0.13418834737999266, 0.10636316606311433]",0,"[0.00801209372637944, 0.007385229540918164]","[0.21922873745377708, 0.2578246902248738]","[0.5955188679245284, 0.3903727176701373]","[0.017780172413793104, 0.018682710576314123]","[0.0, 0.000432152117545376]","[0.1784343181438825, 0.13671875]","[0.1459288990825688, 0.18642163550276863]","[0.2602336310984588, 0.2520097867878364]","[0.09359605911330049, 0.1402110462505613]","[0.0, 0.0]","[0.2638970157987127, 0.1279396871835265]"
1324,"[0.40250801433151046, 0.44715823590693365]","[0.46397694524495675, 0.48112105877773453]","[0.4677839075673988, 0.4683245083207262]","[0.9919879062736205, 0.9926147704590819]",0,"[0.9684466019417476, 0.9772009222098882]","[0.854253255749515, 0.9244303797468354]","[0.1636001989060169, 0.059403112951592174]","[0.02191015988495051, 0.015105740181268883]","[0.49045967042497834, 0.43433333333333335]","[0.27803488786044855, 0.3765832252917124]","[0.5558367925483446, 0.5161764705882353]","[0.4787848101265823, 0.39807046979865773]","[0.0, 0.0]","[0.7557101601470202, 0.6327464788732394]"
1325,"[0.34044099830385266, 0.30148818815693623]","[0.5488016672455713, 0.47054003113988363]","[0.3276786499077085, 0.27839525775378426]","[0.780771262546223, 0.7421753097751262]","[0.03155339805825243, 0.022799077790111862]",0,"[0.6760549263305603, 0.7308615049073064]","[0.08252345844504022, 0.042674731182795696]","[0.013093652907234798, 0.018873035940039733]","[0.39305196669537756, 0.3851291621648168]","[0.28432516530532864, 0.28322894919972164]","[0.45325264750378214, 0.44599697885196377]","[0.1938562481359976, 0.23227383863080683]","[0.0, 0.0]","[0.5924511141427922, 0.5654885654885655]"
1327,"[0.22573439070702558, 0.1692944596141989]","[0.3035877722862896, 0.30192026716760595]","[0.1569431656482799, 0.27382267295913243]","[0.4044811320754717, 0.6096272823298626]","[0.1457467442504849, 0.07556962025316456]","[0.3239450736694397, 0.26913849509269355]",0,"[0.014253628196268141, 0.01303680981595092]","[0.0013150324648639764, 0.0]","[0.24670846394984325, 0.208955223880597]","[0.3325390773922989, 0.28833629366489044]","[0.2854967643700038, 0.4172529825634751]","[0.12316803854647661, 0.06736242884250475]","[0.0, 0.0]",[0.6685347554912773]
1329,"[0.9184498335710889, 0.9154113557358053]","[0.876933130037029, 0.8844397611520899]","[0.8020594965675057, 0.7916420264143504]","[0.9822198275862069, 0.9813172894236859]","[0.836399801093983, 0.9405968870484078]","[0.9174765415549598, 0.9573252688172043]","[0.9857463718037318, 0.9869631901840491]",0,"[0.006578947368421052, 0.0]",[0.777007299270073],"[0.7409353652128219, 0.7396015379238029]","[0.9871145881270134, 0.9545454545454546]","[0.863493174658733, 0.9190590111642744]","[0.0, 0.0]","[0.9796655035495127, 0.97575329566855]"
1330,"[0.9865129432238416, 0.9850483729111698]","[0.9986180210060807, 0.99813560985183]","[1.0, 1.0]","[1.0, 0.9995678478824547]","[0.9780898401150495, 0.9848942598187311]","[0.9869063470927653, 0.9811269640599602]","[0.998684967535136, 1.0]","[0.993421052631579, 1.0]",0,"[0.9865625, 0.9844548551959114]",[0.977427445360086],"[0.996415770609319, 0.9916167664670659]","[0.9642375168690959, 0.9709418837675351]","[0.18892612095101324, 0.23132969034608378]","[0.9878073770491803, 0.990023023791251]"
1331,"[0.5154664686958673, 0.5268046441191317]","[0.4911442786069652, 0.49382716049382713]","[0.5595238095238095, 0.46604303086997195]","[0.8215656818561176, 0.86328125]","[0.5095403295750217, 0.5656666666666667]","[0.6069480333046224, 0.6148708378351831]","[0.7532915360501568, 0.7910447761194029]",[0.222992700729927],"[0.0134375, 0.015545144804088586]",0,[0.4222299895141559],"[0.7198133918770582, 0.7017543859649122]","[0.72093813732155, 0.7671373555840821]",[0.0],"[0.8305850738976426, 0.7750611246943765]"
