,sucrose,trehalose,myo-inositol,xylose,mannitol,N-acetyl-glucosamine,Glucose,lactic acid,malic acid,citric acid,pyruvic acid,alpha-ketoglutaric acid,citrulline,succinic acid,alanine,arginine,asparagine,aspartic acid,glutamic acid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,cysteine,cystine,adenine,adenosine,cytidine,cytosine,guanine,guanosine,hypoxanthine,inosine,thymine,uracil,uridine,xanthine,xanthosine,5-methyluridine,gamma-Aminobutyric acid,ectoine,N-acetyl-glutamic acid,ornithine,shikimic acid,taurine,N-acetylglutamine,n-acetyllysine,n-acetylmuramic acid,betaine,nicotinamide,trigonelline,carnitine,choline,sn-glycero-3-phosphocholine
1319,5.54491217005226e-13,5.99971250559943e-13,6.088322752082171e-13,9.130057279269822e-12,4.064070771065989e-13,3.698863073288196e-11,3.475916164118961e-11,2.894418608115692e-13,1.829564150422823e-12,1.9619467988932866e-13,7.278963444819763e-11,5.281676225189816e-12,1.1215094007868638e-12,2.9191119809420384e-13,6.959146913418009e-11,4.6691379879730896e-11,2.633362467850951e-11,1.4116868210851306e-11,5.521930622432853e-12,2.4587372851535903e-11,6.0548995956945e-11,4.1373166814284066e-11,4.2932538898652415e-11,5.592267896519303e-11,3.2522054347335244e-11,3.082674569984355e-11,6.085979324808129e-11,8.03882024556836e-11,4.7836138902041834e-11,4.099382754518456e-11,3.510055994694427e-11,5.3194756051361135e-11,5.491961205402312e-11,2.62021311694832e-11,2.1628114013381625e-11,3.397069367858483e-11,2.4391319268490945e-10,2.0641770415135142e-10,1.9869250691213973e-12,6.84575301730664e-11,1.5921746303899142e-10,3.450863567130025e-11,1.284563776044554e-10,1.3352052221873278e-12,6.895173550302562e-12,1.213753362359703e-10,1.8385068214145816e-11,2.6526275645604803e-11,7.732489669231929e-11,4.3705537226792913e-13,6.069209785262159e-13,1.2966801967204446e-12,4.50891523144436e-11,3.1849657682114247e-13,3.833201131523044e-13,1.7567161445033063e-11,2.0346038156076904e-11,3.21868645384576e-14,4.697463230571325e-13,2.635828777958052e-13,2.4125536589505783e-13,3.227646429802885e-11,3.4122510428053073e-13,1.056920945194406e-12
1320,4.5070910449962897e-13,1.2847317816379105e-12,2.8176348790943594e-12,3.4424039260050125e-12,4.033357364836055e-12,2.9698152454014995e-11,2.568209052445962e-11,2.778258510349984e-11,3.53901717203667e-11,2.0172578906801983e-11,4.5721980546855744e-11,5.428699080972769e-11,2.57012263122067e-12,2.5756097265606243e-11,3.0081212749818174e-11,3.931984417430938e-11,1.8920698416866386e-10,8.279703756140235e-11,8.650822396076807e-11,1.1974510712323874e-10,2.3255029232787532e-11,1.997754611443042e-11,3.2005382442299695e-11,2.921773793334519e-11,2.96801264811681e-11,1.3655126425283663e-11,9.31610384889601e-12,1.1929124735861496e-10,1.1299321483542628e-10,6.451207008586898e-12,1.733136260916294e-11,1.6538100755223066e-11,2.0529156859666008e-11,8.449728589077321e-12,6.56112673763389e-12,1.5224483902271804e-10,5.044403000729918e-11,3.725371064683912e-11,1.6515863315942749e-12,5.702333700686472e-11,5.09009741589787e-11,3.767925345558754e-11,3.777111707757504e-11,3.873588494709802e-12,6.519841147109586e-11,2.8700471563243492e-11,8.829732213212022e-12,1.3340813428344835e-11,1.9932473982538688e-11,1.1699843140517735e-11,4.08606688356044e-12,6.8716220064830544e-12,3.284248583715346e-11,3.415028498704129e-11,3.3863574586081894e-13,1.810122491340112e-11,2.702819347322775e-12,8.894410104774606e-13,1.8178688834525731e-12,4.156817489605681e-13,1.7945937610786792e-13,2.253964616764106e-11,2.4735667123362676e-12,1.7309891581415286e-11
1321,2.467755227207937e-13,2.640687805618286e-12,1.1310358272569657e-14,7.260781356646283e-12,4.8133396695709937e-11,5.542526610177413e-13,5.398540349521477e-12,1.15068476419817e-10,8.970455103947233e-11,1.2174392546293496e-10,8.76713264183151e-11,7.986817900576376e-11,2.4525513446008028e-12,1.4139156583513642e-10,2.7686604883059352e-11,9.038644595770244e-15,1.8315311689684323e-10,1.6170359925206772e-10,5.962239022328764e-11,1.5278785707769402e-10,3.438039866288284e-11,7.871867641202036e-12,2.1705397398473927e-11,8.047662002494782e-12,2.1879574910406804e-12,1.9965444733021904e-11,5.4346981422239437e-11,1.4129300487785407e-10,1.4061058232853735e-11,1.0602860337881892e-11,2.162035512609818e-11,2.353253945822291e-11,1.865448176123129e-11,2.0283375449864784e-11,2.665558953980568e-11,7.244336597122946e-11,1.1152694316245964e-11,4.3708033916268743e-10,8.95944938791555e-12,5.922858833462234e-11,8.799588324716021e-13,1.1461158571418765e-10,1.6210513671676028e-14,4.2391101607844294e-13,4.5942836974480484e-11,1.1182617479776263e-12,5.816309135421887e-10,7.984371299228642e-13,3.343851028933078e-12,1.0660491776334188e-11,4.793395362068086e-14,1.5426432067046525e-10,3.9108400797412463e-13,1.621646287358824e-10,2.193217064505526e-14,1.0634346949269895e-11,2.2414128842033282e-11,3.788507107998587e-13,7.034652660591969e-13,2.0156868585838935e-10,2.456251960760211e-13,1.5622676423135726e-12,1.1082885299812553e-12,2.138289891472024e-11
1323,3.6966160202014184e-12,1.4624971981827363e-11,2.0147286932301207e-12,5.1387415000981667e-11,7.430957275959345e-13,1.6029479231684115e-11,3.7173964604829494e-11,2.492531349132672e-12,2.489297277745834e-12,1.1495949081956756e-12,3.689100279608699e-12,3.236165970753785e-12,2.798231711694401e-13,1.4061366198595644e-12,2.2269907009180925e-12,1.7861022513313852e-11,4.269749196962393e-12,7.209698679311708e-12,3.0263071537138978e-12,8.96915779210252e-12,1.105395328294896e-11,1.0164928003626693e-11,9.517580878079072e-12,1.3559855078777678e-11,2.4999380752889934e-11,1.73005764614516e-11,4.697632862231808e-12,7.908018727990377e-12,7.776177676240505e-12,6.374123586640288e-12,4.5756299575367e-12,5.664608247718509e-12,4.387027227406901e-12,2.2303745261782363e-11,1.8848785760649792e-11,2.3699947531473607e-11,4.392960534812442e-11,2.4658405346288968e-11,4.5329299918738627e-13,5.2299432907283156e-12,3.1763256225747717e-11,6.060602224071899e-12,2.3029557058744696e-11,1.4882638583454395e-12,1.970842751232273e-11,6.611886426662039e-11,1.8995099116339035e-13,7.069943104176955e-14,2.0563496423574215e-11,1.0331898413571546e-12,1.0612740436307522e-12,2.0909834198968864e-11,2.536234927553671e-11,2.450594266699845e-13,3.020988819163231e-13,5.579773933888449e-13,2.719197479138294e-12,3.2591421250196216e-13,1.6736133343964e-13,5.65287091417705e-13,2.0618121078510753e-13,1.027350426744403e-11,4.0450517048859874e-13,3.615768093765683e-12
1324,4.9311229475481557e-11,5.12556959790319e-12,1.2561533593957607e-11,6.348659190599629e-11,8.67977734959648e-13,2.4210791569317426e-11,4.447390762324209e-11,5.699833538827652e-12,7.812590426531566e-13,4.23080170326906e-13,1.963970205095396e-11,2.207002988821625e-12,1.3991372569512982e-12,6.343347415398513e-13,1.0464980241720602e-11,1.2579019249933673e-11,5.134515861839296e-12,1.1554836761553841e-11,6.2577705400774825e-12,1.1015327817343154e-11,1.9276846107627095e-11,8.466568437326736e-12,3.020543733248595e-11,2.5937570659705596e-11,2.412460745716747e-11,3.2427154306558844e-11,3.197136575760298e-11,1.2847465213138743e-11,1.1908533077137305e-11,8.660489287420031e-12,1.1308676263452827e-11,2.4620006173190293e-11,1.89875938902808e-11,2.0713941857947158e-11,2.028407597118128e-11,8.55314934429552e-11,2.993919003165907e-11,2.7857710045363022e-11,1.431785560484427e-13,6.728591409687048e-12,1.8857452238314033e-11,1.493263224414532e-11,1.870128073353704e-11,3.782902255110629e-12,2.5380278930623694e-12,1.710390883381708e-11,2.6254118395090194e-12,1.0996602067218006e-12,2.8839159567598483e-11,1.6306217608656005e-12,3.383962056056307e-12,1.0720380085196673e-12,1.6591738289379495e-11,2.252458339435734e-13,6.063678935763298e-13,7.688869973468433e-13,1.3223304234168804e-12,1.2492686600548422e-10,7.910686055726085e-13,6.462302997161124e-12,4.676173270675742e-13,8.825172226254141e-12,1.526165295448763e-12,3.0941477828897816e-12
1325,3.118557452630007e-11,6.078775146877058e-12,6.70145046058171e-12,6.606058023058033e-11,4.2728276264390095e-14,3.334616613564088e-11,2.915327312360343e-11,3.287140932907054e-12,1.909137896095775e-13,8.110126718820647e-14,6.307961976791349e-12,3.4473054770141614e-13,5.640566900035765e-13,7.614013503407481e-13,1.5410114117923553e-11,2.5063971834808236e-11,6.301962312723824e-12,3.446592591935433e-12,1.507961069508397e-12,7.835361783938503e-12,2.955787988015795e-11,1.6688582126401807e-11,1.6525827406657487e-11,1.5721753067100406e-11,1.7497496761035984e-11,2.2892805768830156e-11,2.2982203425567138e-11,1.7977938064851585e-11,1.0196475050984954e-11,1.2434360713885396e-11,8.73064599390147e-12,1.0209999855373628e-11,1.9258848410791922e-11,1.741213567428951e-11,2.688110756400828e-11,3.1656669141571887e-13,1.0722846728910451e-10,3.4136171536655075e-11,1.041959177399171e-13,1.613590461927331e-12,8.174467530417573e-11,1.5051668551344952e-12,1.7893858860867785e-11,1.6694312984214206e-13,2.8043684062557467e-14,4.446781826503964e-11,1.2857304644219634e-13,2.594636901619476e-13,6.673843184224771e-13,3.683393320175447e-13,1.8005837016553646e-12,3.0934052600996367e-13,2.646140494594159e-11,2.052403598772884e-13,3.3271506274187283e-13,2.044597354194555e-13,1.7710954117285562e-11,1.7882894028366042e-12,1.635765618220717e-13,2.583976001782565e-12,2.3633150645591443e-13,2.0266709327951782e-11,1.985058628641019e-13,1.0783098423068326e-12
1327,3.3377681730734705e-12,5.056218431311921e-12,9.85567773929563e-12,1.1025553326456606e-11,2.443794051832992e-11,2.307934456999623e-11,4.904527595257743e-11,3.01747233568378e-12,5.729598530257306e-11,3.7971704157324305e-11,1.2467564156355625e-11,5.224326254566793e-13,5.971874383937941e-13,6.15436797851788e-11,2.0077324919371533e-12,2.895770313841806e-11,2.396008499415349e-12,1.4331326910371749e-12,2.7553475689886965e-12,6.151123876261029e-12,3.4028947057119997e-12,1.7178233514947584e-11,1.5081790406013187e-11,9.420422347624681e-12,2.4795266370440864e-11,2.7213389778565313e-12,2.1248179074138112e-12,5.0569833119399644e-12,1.2129625190671028e-12,2.6460716292623825e-12,3.3919212700919334e-13,1.1612008764503736e-12,1.107623938809067e-11,3.1626878673738307e-12,2.754213857250347e-12,2.0372060721911866e-10,1.9403344308948575e-10,1.1070329876621095e-10,9.188694334433335e-12,4.2921885466220607e-10,9.893385874824033e-11,8.704697971841297e-11,1.4421839199084675e-10,1.6314737782085437e-11,2.7853237660873734e-11,9.911219659736626e-11,4.069395608742139e-11,3.909404538588504e-11,4.4197617175219085e-11,1.2165508037436976e-12,5.5511829732488965e-12,2.8736622357823895e-13,3.4146882278350357e-11,5.493295508686426e-13,3.7444470718322685e-13,8.333279275379291e-13,3.3230625152776244e-12,1.2753671191655704e-12,1.903227909379208e-11,5.002761117514299e-10,9.790961192520174e-14,4.516358860232907e-13,5.4093470315665057e-11,1.4381163057063847e-10
1329,1.0413195669813066e-13,1.0372953801106291e-13,1.6636408388187868e-13,5.973796305471175e-14,4.1166729559329795e-14,2.0431828571329485e-13,3.100818621470772e-11,4.0081598709341235e-11,5.3301835476582195e-14,3.5671657170975665e-11,1.1978661856451076e-10,5.798177593170188e-11,1.8902283294873255e-13,7.510552809196176e-14,7.664916216284827e-13,5.468061686385904e-13,4.867968047807277e-13,8.46280391526182e-13,7.569765608201475e-13,2.185362807951509e-13,1.3789270024957648e-13,2.0071195146729616e-12,4.822032006940855e-14,3.3500621691103426e-13,4.2036673447230115e-13,8.47826418967874e-13,1.8325837429016938e-12,2.5864402220851963e-13,6.989773807467337e-13,2.2730366522799498e-13,4.71479607531125e-13,7.955775500767455e-13,7.976150454744107e-13,4.4399498906553545e-13,6.306629923395985e-13,7.997490975117634e-11,3.078631937007847e-12,1.7638488211957516e-11,1.9004140128538248e-12,3.423416159667857e-11,2.4460327950604872e-11,9.245132875359789e-12,1.5685609481526826e-11,9.331713053460757e-13,4.0877713762024024e-13,1.5310241822569507e-11,5.161124407021239e-12,1.7856914109135874e-13,1.2331692439335992e-12,3.2760131450425334e-12,6.476583849857475e-13,1.1870125515241603e-09,6.676640160779077e-13,1.8698200099593469e-10,3.1346792734114433e-13,3.7708674926277154e-10,1.9972327234018476e-10,2.5736558176796307e-12,1.8364325841566938e-13,7.041864997387564e-13,2.16202429361474e-12,1.2011717911631068e-12,5.490112304403207e-13,3.1637552929237336e-12
1330,1.6431487261899743e-23,1.3285692539429519e-17,4.541910114609614e-18,1.1820494541500734e-18,2.785838750147034e-22,6.708018536124282e-23,1.3077562912045394e-16,1.379649027962059e-19,3.754020969871951e-10,8.029950570987119e-20,5.44718177660153e-21,3.4593308009311255e-10,3.3635763401043905e-24,2.9747133976627586e-10,1.3386904811641644e-10,4.893940955349339e-25,1.7209194812573398e-09,1.3507770465889094e-14,5.15002058943346e-10,3.288592807707486e-10,1.0628885673815539e-09,2.8040393279535707e-20,1.340246121210909e-21,7.081938698350148e-22,6.897701549995035e-20,4.453115808791555e-23,7.602418624147158e-21,1.2460875012544705e-20,3.2305026125015276e-10,2.5964701452663232e-23,7.325797745325265e-22,2.0738344426833694e-19,2.945459129050567e-20,6.092868494129174e-19,3.166337078616944e-21,3.53333211470817e-18,1.8562506300535402e-14,7.837055223870337e-22,5.384653854420778e-23,8.783867625184098e-20,7.58115205521075e-19,2.2401252423593778e-24,2.80970885287785e-20,3.741690410206629e-22,4.062830977040451e-15,2.328349194380073e-19,4.0556146510291316e-20,1.0350679482281339e-19,8.844381639416325e-17,8.734950730244458e-19,4.293711497417796e-20,3.075987351304424e-21,2.7906057861738174e-19,1.0447290863920168e-21,1.1200861372643716e-19,6.77057315435661e-10,4.1249518041616495e-24,2.3132801664502827e-18,2.6551771970930945e-21,2.894974089299663e-10,1.5819521280307856e-23,8.95984022225907e-16,5.827923838984995e-19,1.1270029652212359e-14
1331,9.242545369975019e-11,4.828911408116624e-12,4.807529582652164e-12,1.8449292439908776e-11,5.02130388471068e-11,2.7034566024504368e-11,2.387058198029702e-11,8.368091943102267e-13,1.2248006555445017e-12,8.639001572179991e-11,1.496597714121918e-11,1.1037820959953117e-11,1.0600495973528217e-13,1.2701976023793869e-12,8.687200837897107e-11,3.0312427540333364e-11,1.0149620599282025e-10,5.8107979876946735e-11,3.338823722790451e-11,7.83212822366054e-11,5.399185761938905e-11,4.274380735730455e-11,3.1551381107618847e-11,4.136186078233913e-11,3.856799910101615e-11,1.6279734041672667e-11,2.9012418284748275e-11,6.490772637029932e-11,1.192686037665145e-10,8.498748024691553e-11,1.2690379951232716e-13,1.515548726376293e-11,5.422591896005677e-11,1.695373457080986e-12,1.9840395755409776e-12,1.0314056797881653e-10,1.4498875626536116e-11,3.8688672892471564e-13,1.406181429146332e-12,1.0151201126130834e-10,4.788944189604306e-13,9.747942853213546e-11,9.833525136717295e-13,5.035637456379372e-13,1.2060640895472393e-10,8.302524788984625e-13,1.1733824301851443e-12,6.216959321402664e-13,3.982455448618305e-13,2.002129155690395e-10,4.0362479491389254e-13,1.7852042664193095e-13,2.4963197124204653e-11,8.422324944185727e-13,4.4657358607665515e-13,2.853249253511884e-13,6.873406694311671e-14,1.3869060276445363e-12,2.8623009680515263e-12,1.2934119320144027e-10,1.76975912298699e-12,7.967733873784528e-13,1.0360288258760006e-11,1.5750082916953656e-13
