,sucrose,trehalose,myo-inositol,xylose,mannitol,N-acetyl-glucosamine,Glucose,lactic acid,malic acid,citric acid,pyruvic acid,alpha-ketoglutaric acid,citrulline,succinic acid,alanine,arginine,asparagine,aspartic acid,glutamic acid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,cysteine,cystine,adenine,adenosine,cytidine,cytosine,guanine,guanosine,hypoxanthine,inosine,thymine,uracil,uridine,xanthine,xanthosine,5-methyluridine,gamma-Aminobutyric acid,ectoine,N-acetyl-glutamic acid,ornithine,shikimic acid,taurine,N-acetylglutamine,n-acetyllysine,n-acetylmuramic acid,betaine,nicotinamide,trigonelline,carnitine,choline,sn-glycero-3-phosphocholine
1319,2.3990772270910366e-12,2.062008918202277e-11,1.352891921440545e-11,1.26002064440402e-10,3.996474442211087e-11,1.3752487162968665e-10,1.8224668067222082e-10,8.062515251098498e-11,1.491640378149983e-11,5.708133586676305e-11,1.7726693943353177e-10,9.036711481755803e-11,2.46453921330566e-11,4.383508621157438e-11,1.2800968997958825e-10,1.2145803749410691e-10,2.188644177920774e-10,4.037586269161579e-11,6.938795901695882e-11,2.1421955170780115e-10,1.1860468835286028e-10,1.9909571690724735e-10,1.8827829727716446e-10,1.3105773977951912e-10,2.651294577153573e-10,2.1908686286899565e-10,1.2819689507757249e-10,2.1386981857085817e-10,1.3132226844505895e-10,1.542331228311128e-10,2.1568081876120977e-10,1.5262383626734025e-10,1.2280447986566828e-10,4.841760670881533e-11,3.391979881982031e-11,1.2900110232897068e-10,2.528157965568112e-10,2.035791009819122e-10,1.6496981164852123e-10,1.366467779319669e-10,2.819688211271674e-10,2.2712403075559669e-10,2.726379792106018e-10,1.0794617535934156e-10,1.8238038130734307e-10,2.4725508463910736e-10,2.9065254048529365e-10,1.6157440769260785e-10,2.4509695685979607e-10,1.2303161303643813e-11,4.139167742574506e-11,6.652419717823778e-11,1.1453484887894157e-10,2.970573306203528e-11,3.1399025592378897e-11,3.852056352471443e-11,1.0441880140435438e-10,8.547112176004811e-12,2.918670074917625e-11,2.8119444575903917e-11,4.137208390611747e-11,2.9404284671125017e-10,3.4413284566619886e-11,2.52630675638642e-11
1320,6.444341802143118e-12,1.583596627201193e-11,7.221407194777565e-11,4.800949202077923e-11,6.165359434526845e-11,4.2692303119866005e-10,4.3860124418175633e-10,4.701059230549062e-10,4.028981734421659e-10,2.706948734299481e-10,4.004666750961894e-10,4.2899253662477267e-10,7.536700065327658e-11,4.3393181136339023e-10,3.596712618442681e-10,4.4649556084050497e-10,3.319205951678194e-10,1.2516139632126236e-10,2.2325959766911175e-10,3.3870802571839463e-10,3.8217853708896213e-10,1.487313468939104e-10,1.8527892936064992e-10,2.328531316925955e-10,2.000720422352712e-10,1.2567808921378532e-10,1.560953113994783e-10,3.2821248534314177e-10,3.130649729829651e-10,1.4478794639384968e-10,1.684194613223546e-10,1.7161153853976824e-10,1.7204205802853744e-10,1.2980240343846154e-10,1.767129473625356e-10,3.3235943148807494e-10,4.320394081086796e-10,4.287015103464025e-10,1.2373895639227724e-10,3.9072354733523286e-10,4.5446697622629733e-10,4.559646212648113e-10,4.217496548483009e-10,7.554244174058084e-11,1.432743317698596e-10,4.2275502896092935e-10,1.3201838494883197e-10,1.3287110266677455e-10,1.6555947117420804e-10,1.0466578405698279e-10,6.636598001848361e-11,3.718354278642783e-11,4.180963294476475e-10,3.0600391435896015e-10,4.801455442783145e-12,1.8862396296021909e-10,5.6817009977578995e-11,4.7947417094482406e-11,4.958870333925378e-11,1.9482472424432895e-11,1.917040958706974e-11,2.479843009983522e-10,6.525980166543352e-11,1.1579283443365819e-10
1321,2.0450966138668852e-11,6.94016586544098e-11,1.6213816021603467e-11,5.533187491337003e-11,2.323557372500561e-10,2.2186365022003432e-11,9.301451062005305e-11,2.144123012238243e-10,2.144675345029461e-10,1.782781232607784e-10,8.673128887239769e-11,2.2220215087544635e-10,1.463948788690701e-11,1.749713727546824e-10,5.246891736321465e-11,5.254175801096394e-11,1.2531343806446548e-10,3.187866152172744e-11,1.6176044689250876e-10,1.3910079368080948e-10,1.2115318174953015e-10,8.239817452200583e-11,4.926528138607921e-11,9.526053607747769e-11,5.2340860184534026e-11,5.163231573763598e-11,7.081329735335612e-11,1.6395029893077797e-11,1.473791824115722e-10,5.60181575412363e-11,3.750484571235781e-11,4.753764050078748e-11,6.218316448063976e-11,5.613836923286124e-11,6.108461571929522e-11,1.2246019084007708e-10,6.924254145662852e-11,4.6974225599305934e-11,3.44967155873852e-11,1.4483029137166416e-10,1.966997112265154e-11,1.775008136704482e-10,1.102125834490331e-11,4.495001494410764e-11,2.0073190173416898e-10,3.723490599984073e-12,2.2614860792473617e-10,3.868600652975506e-11,3.286479710182052e-11,6.596019392974672e-11,2.6755461864898818e-11,1.1352748543209445e-10,6.368412143857311e-11,1.4977717457503645e-10,7.596848009827028e-11,6.654986105967606e-11,9.20030755844497e-11,2.7563881268324477e-11,7.196545182744427e-12,5.2772316776489345e-11,1.3685599479125727e-11,2.330415681558824e-11,6.273543323772367e-12,9.02425233471819e-11
1323,1.3741720380255587e-11,2.2746991029177976e-11,3.2080004796857415e-11,3.612017583952408e-11,3.956913111460284e-12,1.9047083176732293e-11,2.7693425477770458e-11,5.191240964793523e-11,2.0075932697783584e-11,4.319196846192683e-11,8.945423879011016e-12,7.944243178039231e-12,2.842574479438013e-12,5.809717820308664e-12,2.2391027877009657e-11,3.764038215345287e-11,1.0874948332853928e-11,2.312528982941053e-11,1.2433075760338815e-11,1.3425200352495487e-11,3.280678173995336e-11,2.9812151741753385e-11,1.3237645966829987e-11,3.265118420456255e-11,3.7031471506304764e-11,1.95900203180148e-11,2.0777931185490247e-11,2.153717496461801e-11,1.7233045040898774e-11,1.1594563230890993e-11,2.5200048747966058e-11,3.466811112344325e-11,1.7911654774310922e-11,7.125619484604888e-11,7.304659996484644e-11,7.416327090939132e-11,5.778459256217001e-11,4.970309226891572e-11,1.9485906787889307e-10,6.815652983874905e-12,5.445496711282051e-11,1.4485264627126894e-11,2.427069259420809e-11,1.013400940729896e-11,2.4995358496158105e-11,8.130792257094715e-11,1.070070959827909e-11,1.3819884004178272e-11,2.71486252064314e-11,2.8088097061078535e-11,1.6653365689370583e-11,7.697798411967808e-11,3.099299602877735e-11,3.0297658625273664e-12,1.6254607837629318e-11,2.4494961163320904e-11,7.0198814213135765e-12,2.172296222796647e-11,4.9616410503167355e-12,2.270623428668058e-11,4.155568321010369e-12,1.9255950326064615e-11,3.821720509307043e-12,2.0492494315036755e-11
1324,4.917207594454504e-10,2.487116767536371e-11,3.070742377255134e-11,3.071071165006105e-10,2.4308561238669457e-11,1.8756256362963482e-10,2.2429776201967504e-10,2.5087709577858653e-11,2.165052640856336e-11,4.3326214418467285e-11,1.5830032514040916e-10,1.8721967955348176e-11,3.4683991093193425e-11,8.764647442777913e-12,1.0793800516935065e-10,1.104298334626293e-10,3.123364674739524e-11,4.642511849370061e-11,8.580730099765404e-11,6.999086541787254e-11,6.801361489330985e-11,6.370287428767597e-11,3.067008386305672e-10,1.500369830861394e-10,4.090531734142137e-11,1.7699408024450746e-10,2.016423211371491e-10,1.3630541522919876e-10,1.0110681761717824e-10,8.286101202888143e-11,1.558388140574963e-10,2.43653933001478e-10,1.918117883582237e-10,1.057153809925944e-10,1.227589342232247e-10,1.4011225401476488e-10,2.944200595869261e-10,2.6515841443860504e-10,1.467287069920926e-11,2.0853283767958154e-11,2.7682224930464584e-10,8.535620175603914e-11,2.984860525828746e-10,6.114110243497502e-11,2.687164978354293e-11,2.565595454124246e-10,2.936408500088833e-11,1.8019243237766342e-11,1.6313464385962008e-10,1.0336569993999143e-11,1.8513861096007498e-11,1.0575537176697482e-10,1.6957062561727765e-10,2.048970454343599e-11,5.7891530638600336e-11,5.5771978934240825e-11,1.9038288589171857e-11,3.0962361507757945e-10,9.325940936966861e-12,9.155604398816055e-11,1.71108305460889e-11,5.7343463204985393e-11,1.8458528613549927e-11,1.974202226022706e-11
1325,7.44008483977976e-11,1.3050690357399143e-10,1.9932077366665232e-11,4.4165122764140586e-11,8.775336073713191e-13,7.273930750107703e-11,5.5669775264098186e-11,7.714725562401083e-12,1.613316722465748e-11,1.0513641758980971e-11,3.076798935887845e-11,9.235925470598801e-12,2.2647630368794456e-12,3.6185404244501425e-12,5.200094646104132e-11,6.934588451817967e-11,2.1772297281278564e-11,1.4358801643710137e-11,8.68800061187243e-12,2.6321403633268495e-11,5.1076990943179814e-11,4.208896359224526e-11,4.869610154046262e-11,3.605337773782762e-11,1.025654440485457e-10,3.053299300865212e-11,4.929007625565527e-11,2.7154120901564307e-11,3.096594000098471e-11,4.085077217451164e-11,4.714302967942113e-11,3.5298869440998506e-11,4.6403099805842585e-11,3.5927282159419754e-11,3.609149718860755e-11,7.66965653698227e-12,1.1436271287269937e-10,8.97470706429516e-11,2.2208437640516285e-11,5.455337232456231e-12,1.3143549808599647e-10,7.614357425227314e-12,7.256487377813244e-11,4.562452489149391e-12,9.505955766086322e-12,9.197089085107565e-11,8.050099888481819e-12,4.133539493337539e-12,8.13717914554199e-12,1.542348196154322e-11,1.1256877298078512e-11,1.907571916827584e-11,7.964072038473656e-11,1.010079814730172e-11,4.256973560428695e-12,3.126280241566311e-12,1.0671131685007624e-10,1.6375090131282057e-11,4.514463412182382e-12,1.054907298507257e-11,1.9588172009065883e-12,3.2148228093769606e-11,1.0519175937586714e-11,1.2644755175590184e-11
1327,8.242527893473927e-12,2.3593408232498533e-11,1.327799237274401e-11,1.4541566450896847e-10,1.1248710642353427e-10,1.1970086107445004e-10,1.317359190801788e-10,1.6167576006970312e-11,1.4414832964013442e-10,3.3331801613778944e-11,1.1966739034901148e-10,4.010012334327961e-11,9.213966272729138e-12,1.1518474530159624e-10,1.5467877486443604e-11,9.748672823320045e-11,1.818704614173847e-11,1.4544953940027413e-11,2.917199918963751e-11,5.992909127140731e-11,7.738196552450025e-12,1.4272594685172617e-10,4.0069044770337356e-11,3.9593073342240317e-11,1.4843159428282877e-10,1.600855241600784e-11,7.982610549379488e-11,2.191030014370394e-11,2.137856335796951e-11,1.2735694056672847e-11,6.477859234269337e-12,2.6807225547659504e-11,2.1217268719733863e-11,2.074105731579425e-11,4.2353444715912973e-11,1.5197016001056789e-10,1.7137895700007855e-10,2.8677303856615177e-11,1.9114621438485134e-10,1.5522134175793585e-10,1.9202638898796919e-10,2.014475929264521e-10,1.3335691269168617e-10,1.830928406283089e-10,1.3191540094985688e-10,1.955488361247757e-10,2.414759616951975e-10,2.520491761373517e-10,2.453671207644589e-10,7.156025816463323e-12,3.791171843499446e-11,1.086057746476462e-11,9.527817185692566e-11,4.868102937095885e-12,2.6296267920170735e-12,1.1617741499255621e-11,1.0736514006879193e-11,1.1670226746596595e-11,1.3477191233367557e-10,1.2177726492501149e-10,7.704368720576622e-12,3.4381360265772244e-11,2.2438708457587124e-10,4.7031622152071434e-11
1329,8.208220109137925e-11,1.5747367928947985e-10,4.6563030606960004e-10,8.218206488158111e-10,3.3511127536800995e-10,4.238021184086426e-10,6.974196050895831e-10,6.087235596624058e-10,4.011387272982364e-10,7.11772914964028e-10,1.2746954484823917e-09,7.673412262868041e-10,4.878363688378062e-10,3.5322269177351627e-10,1.9691765545633502e-10,6.243010808775011e-10,1.5715063405132411e-10,2.9102405346366123e-10,4.718860943780675e-10,3.993813708606695e-10,1.500717399364717e-10,6.784654656484753e-10,6.022206536201211e-10,4.661410942643962e-10,5.031663132391608e-10,4.837274064647055e-10,5.978101108102768e-10,5.671621170007298e-10,3.9415365121770737e-10,3.9193137353015556e-10,1.5884667650476522e-10,2.717070803455525e-10,5.784936181163419e-10,2.9749792956149764e-10,4.484082096660611e-10,1.0094078436258462e-09,1.9785127691113576e-10,4.230481078947365e-10,3.2201304611754823e-10,1.0097203506374132e-09,2.9778899033306615e-10,2.2204240858948226e-10,2.7689959443504764e-10,3.883063725446935e-10,2.078220089947407e-10,3.863631986982584e-10,2.392680548935361e-10,2.0489510755453789e-10,2.270185998435418e-10,4.741229886808756e-10,5.424629725719254e-10,3.887452783396093e-10,5.6994516274956675e-11,2.1709111903057305e-09,5.200488234221207e-10,2.5086396168264807e-10,2.074668196904296e-10,4.5517247707909485e-10,2.883055545613342e-10,4.3474380658616833e-10,3.5949056791711757e-10,3.3318840415230644e-10,1.8851161281156647e-10,5.920739640269536e-10
1330,4.076913823206326e-12,7.079880986859572e-11,9.25093240381445e-12,3.5856378182073486e-11,2.1679823603809695e-11,4.202654587544789e-11,5.267178046426226e-11,2.4290497426346524e-10,1.3786751617030646e-10,0.0,2.783871810779276e-10,6.641724997898412e-11,0.0,4.533597995426781e-11,2.8234190275229544e-10,1.8575076824006526e-12,5.239636275925141e-11,2.344784070196905e-10,3.0333655420244085e-10,5.2462134802966377e-11,2.5507496974043785e-10,8.678636798269253e-13,1.1136828806202958e-12,5.438951376538614e-11,7.2156589689919014e-12,1.858246296920394e-11,1.430435357045655e-11,3.05510606077129e-11,3.6265032523780686e-10,1.2704238075087213e-10,5.187190660663145e-12,0.0,1.294651832686453e-12,0.0,0.0,4.7281920515004886e-11,1.1430233194261624e-11,8.876079975891e-12,5.147132438735948e-12,9.726721092620419e-12,6.586344191930431e-12,3.4805911611401398e-12,8.00378164273786e-12,6.006451969966296e-13,5.092270987965706e-12,7.569595765418493e-12,3.865507564884992e-12,0.0,7.609030277041763e-12,2.276591403329081e-11,1.5409874777624208e-12,2.999932172992645e-10,0.0,3.0985951687203326e-12,1.080918266830676e-11,2.504447740034514e-10,0.0,2.8631202352880974e-12,2.247043164768172e-12,5.12157164671928e-11,5.399725592405096e-12,2.319264006537881e-12,0.0,6.524510819174901e-11
1331,2.449444582607633e-10,2.890974769972967e-11,7.012272799714615e-11,2.1329638832082933e-10,1.6903823910576827e-10,3.253372677993419e-10,3.751727763084866e-10,3.327379309534284e-11,6.761308924007645e-11,1.68831140763827e-10,1.5737871356786373e-10,8.273914645389861e-11,7.295909324515696e-11,6.209704017665151e-11,5.096926699352281e-10,1.529355623164258e-10,4.856263295622313e-10,1.4284742650099523e-10,1.4280862699831657e-10,5.139783123650814e-10,5.340366135474961e-10,4.584925186258934e-10,1.5387548937914487e-10,1.3055995218020477e-10,1.9343105305344913e-10,9.720832352482047e-11,1.8849479926732034e-10,1.5203433910086e-10,4.1678199392134255e-10,4.749621861571296e-10,5.242384474567879e-11,1.335585031452758e-10,2.6380055036000795e-10,2.248969107441317e-10,1.8065028836024647e-10,4.3898823654938606e-10,1.844640985409063e-10,7.27504360718016e-11,2.0709595988029984e-11,4.786638838597546e-10,1.2218906254293706e-10,5.119918544934492e-10,1.2670914781906238e-10,2.2237623333800513e-11,4.728007714121358e-10,8.312376657071216e-11,6.537208411565821e-11,9.781375957503986e-11,9.7570095084602e-11,2.9633116470621457e-10,2.3577034556673008e-11,4.4142373759175964e-11,1.8856768258148612e-10,1.4117252901924683e-10,5.619417083762763e-11,2.5391126233821502e-11,6.522532701761856e-11,5.4501310205938975e-11,6.875461222240826e-11,4.190789234226238e-10,6.790067156573053e-11,2.5782606328361376e-11,1.4699380503423092e-10,4.496230210354076e-11
