,Lysobacter,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus
Lysobacter,,-0.7117835532014201,-0.4689283404207747,0.13793821216195143,-0.10986893830402239,0.04343549642249871,-0.0942850117650796,-0.13152326706801967,-0.116817948603414,0.8447265049407849,0.16690085281826844,-0.06930832004325685,0.17132464600160963,-0.27207486614539217,-0.5455552791435084
Burkholderia,-0.7052014481340233,,-0.6117356561071087,-0.5629977993904836,-0.5830069515805402,-0.5534009146066284,-0.7184516704523077,-0.6621225065739682,-0.6690734978223324,-0.5888749300139028,-0.6281485109353528,-0.5383642962586044,-0.47195038271704937,-0.5070806464588592,-0.7080153772164489
Variovarax,0.5705003273213736,0.24785094881715014,,0.5876393230387169,0.47516733800089883,0.503639034695566,0.6048106677583401,0.22624660557853826,0.1247217327340136,0.5857943129086853,0.6529655875065065,0.4284075476792481,0.9283626807620595,0.7082494521884801,-0.16054703396978173
Chitinophaga,0.30849001809029675,0.5678204911421665,0.8581545275583139,,0.7091250507325104,-0.6778191805070009,0.937568883672553,-0.8389029016732955,0.5824327786845802,-0.6766834487662653,0.26009320944805436,-0.24814365201931496,0.8726099994488279,0.8439158891345316,0.7616274108916192
Niastella,0.9147971255619588,0.8600162492351059,0.9450766525875127,0.9467447309155301,,0.8979139702018601,0.8955662410926741,0.6820412967106256,0.5632077681195288,0.6694051183015113,0.9208686642066197,0.8328500811381944,0.9572081937324514,1.0,0.9745119098107098
Mucilaginibacter,0.052208974133667145,0.16703449361823255,0.5975509444262072,0.36545086202902677,0.6104301310456027,,-0.15439424973118554,0.8584579781213391,-0.20202069304096984,0.3254500433116979,0.15629525045030665,-0.0583361501322176,0.8186474011574125,0.6126318641166689,0.5597269073432308
Rhizobium,-0.22779163967665214,-0.36718626104407287,-0.38254336366112984,-0.46412740534666824,-0.5038566784649661,-0.3842935911446414,,-0.09828032317119566,-0.16616791813591764,0.7106893428680833,-0.43981506713829527,-0.4111484827195389,-0.35761875259355963,-0.2837134525013211,-0.4167768165832889
Bosea,0.34586196643958234,-0.48155736730131493,0.10125932610252239,1.0,0.4851646971371221,1.0,0.15966922055944768,,0.31077315354957036,0.045192098139479976,0.048051031709788375,0.33698586625418275,1.0,1.0,1.0
Arthrobacter,0.6747698076531171,0.46653706378810267,0.39646890528747836,0.6314935356436411,0.5282462199867435,0.8731306242641912,0.8414627489492723,0.8241795840152082,0.9024347945598366,,0.8141545685515829,0.8152993661166476,0.7774643970975672,0.5922414197556815,0.696857846013829
Bacillus,-0.8228817190657209,-0.8802299267351538,-0.7835748387728024,-0.8895486510749618,-0.7858233147392378,-0.8401965065493626,-0.9047062536425322,-0.8552319631614107,-0.8824416008235222,1.0,-0.9050068275187153,-0.8865736070425102,-0.9618711707033061,-0.9490897765034025,
