Strain,Time,Replicate,OD,species
1319,6.166666666666667,R1,0.13,Lysobacter
1319,7.083333333333333,R1,0.123,Lysobacter
1319,8.083333333333334,R1,0.134,Lysobacter
1319,9.083333333333334,R1,0.191,Lysobacter
1319,10.083333333333334,R1,0.237,Lysobacter
1319,11.0,R1,0.257,Lysobacter
1319,12.0,R1,0.337,Lysobacter
1319,13.0,R1,0.334,Lysobacter
1319,14.0,R1,0.379,Lysobacter
1319,18.0,R1,0.425,Lysobacter
1319,24.0,R1,0.4,Lysobacter
1319,32.25,R1,0.4,Lysobacter
1319,48.0,R1,0.42,Lysobacter
1319,6.166666666666667,R2,0.128,Lysobacter
1319,7.083333333333333,R2,0.124,Lysobacter
1319,8.083333333333334,R2,0.136,Lysobacter
1319,9.083333333333334,R2,0.186,Lysobacter
1319,10.083333333333334,R2,0.234,Lysobacter
1319,11.0,R2,0.256,Lysobacter
1319,12.0,R2,0.335,Lysobacter
1319,13.0,R2,0.332,Lysobacter
1319,14.0,R2,0.374,Lysobacter
1319,18.0,R2,0.426,Lysobacter
1319,24.0,R2,0.48,Lysobacter
1319,32.25,R2,0.3,Lysobacter
1319,48.0,R2,0.46,Lysobacter
1319,6.166666666666667,R3,0.128,Lysobacter
1319,7.083333333333333,R3,0.126,Lysobacter
1319,8.083333333333334,R3,0.137,Lysobacter
1319,9.083333333333334,R3,0.182,Lysobacter
1319,10.083333333333334,R3,0.226,Lysobacter
1319,11.0,R3,0.253,Lysobacter
1319,12.0,R3,0.327,Lysobacter
1319,13.0,R3,0.329,Lysobacter
1319,14.0,R3,0.374,Lysobacter
1319,18.0,R3,0.426,Lysobacter
1319,24.0,R3,0.52,Lysobacter
1319,32.25,R3,0.42,Lysobacter
1319,48.0,R3,0.5,Lysobacter
1320,6.166666666666667,R1,0.228,Burkholderia
1320,7.083333333333333,R1,0.248,Burkholderia
1320,8.083333333333334,R1,0.357,Burkholderia
1320,9.083333333333334,R1,0.414,Burkholderia
1320,10.083333333333334,R1,0.46,Burkholderia
1320,11.0,R1,0.409,Burkholderia
1320,12.0,R1,0.462,Burkholderia
1320,13.0,R1,0.408,Burkholderia
1320,14.0,R1,0.472,Burkholderia
1320,18.0,R1,0.554,Burkholderia
1320,24.0,R1,0.74,Burkholderia
1320,32.25,R1,0.68,Burkholderia
1320,48.0,R1,0.76,Burkholderia
1320,6.166666666666667,R2,0.213,Burkholderia
1320,7.083333333333333,R2,0.241,Burkholderia
1320,8.083333333333334,R2,0.339,Burkholderia
1320,9.083333333333334,R2,0.384,Burkholderia
1320,10.083333333333334,R2,0.431,Burkholderia
1320,11.0,R2,0.414,Burkholderia
1320,12.0,R2,0.443,Burkholderia
1320,13.0,R2,0.408,Burkholderia
1320,14.0,R2,0.467,Burkholderia
1320,18.0,R2,0.542,Burkholderia
1320,24.0,R2,0.64,Burkholderia
1320,32.25,R2,0.62,Burkholderia
1320,48.0,R2,0.74,Burkholderia
1320,6.166666666666667,R3,0.215,Burkholderia
1320,7.083333333333333,R3,0.237,Burkholderia
1320,8.083333333333334,R3,0.335,Burkholderia
1320,9.083333333333334,R3,0.382,Burkholderia
1320,10.083333333333334,R3,0.429,Burkholderia
1320,11.0,R3,0.413,Burkholderia
1320,12.0,R3,0.451,Burkholderia
1320,13.0,R3,0.42,Burkholderia
1320,14.0,R3,0.472,Burkholderia
1320,18.0,R3,0.543,Burkholderia
1320,24.0,R3,0.58,Burkholderia
1320,32.25,R3,0.96,Burkholderia
1320,48.0,R3,0.69,Burkholderia
1321,6.166666666666667,R1,0.152,Variovarax
1321,7.083333333333333,R1,0.116,Variovarax
