Microorganism,AMD strain number,DF,OD600,Average CFU ml^-1,SD
Lysobacter sp. OAE881,AMD1319,10^-6,0.154,1.5E+09,9.0E+07
Lysobacter sp. OAE881,AMD1319,10^-5,0.116,5.98E+08,3.67E+07
Burkholderia sp. OAS925,AMD1320,10^-5,0.113,1.1E+08,1.3E+07
Variovorax sp. OAS795,AMD1321,10^-4,0.094,2.85E+07,1.80E+06
Variovorax sp. OAS795,AMD1321,10^-5,0.094,7.9E+07,3.1E+06
Variovorax sp. OAS795,AMD1321,10^-6,0.094,6.10E+08,1.20E+07
Chitinophaga sp. OAE865,AMD1323,10^-5,0.158,6.58E+08,1.51E+07
Chitinophaga sp. OAE865,AMD1323,10^-6,0.158,8.40E+08,1.30E+07
Chitinophaga sp. OAE865,AMD1323,10^-5,0.123,4.05E+08,2.20E+07
Niastella sp. OAS944,AMD1324,10^-5,0.12,9.5E+07,8.3E+06
Niastella sp. OAS944,AMD1324,10^-4,0.113,5.74E+07,4.28E+06
Niastella sp. OAS944,AMD1324,10^-5,0.113,7.1E+07,3.1E+06
Mucilaginibacter sp. OAE612,AMD1325,10^-5,0.122,4.63E+08,4.45E+07
Rhizobium sp. OAE497,AMD1327,10^-4,0.143,1.6E+07,2.0E+06
Bradyrhizobium sp. OAE829,AMD1328,10^-4,0.136,2.0E+07,2.1E+06
Bradyrhizobium sp. OAE829,AMD1328,10^-4,0.112,1.1E+07,5.3E+05
Methylobacterium sp. OAE515,AMD1330,10^-4,0.092,9.4E+06,1.1E+06
Arthrobacter sp. OAP107,AMD1331,10^-4,0.139,3.29E+07,2.32E+06
Arthrobacter sp. OAP107,AMD1331,10^-5,0.139,6.9E+07,1.4E+06
Rhodococcus sp. OAS809,AMD1334,10^-3,0.117,6.81E+06,6.11E+04
Rhodococcus sp. OAS809,AMD1334,10^-4,0.117,3.15E+08,4.95E+06
Rhodococcus sp. OAS809,AMD1334,10^-5,0.117,1.0E+08,3.0E+07
Marmoricola sp. OAE513,AMD1336,10^-6,0.153,1.9E+09,5.10E+08
Marmoricola sp. OAE513,AMD1336,10^-5,0.142,5.32E+08,8.00E+07
Paenibacillus sp. OAE614,AMD1338,10^-3,0.142,1.30E+06,1.30E+05
