Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
0,"1319,1320,1321",1268036548.7179828,0.9543374632055441,"330217496.3447468,740175732.2242109,197643320.14902505"
1,"1319,1320,1323",1563993461.4606433,0.9869984305812718,"202193511.32479408,721577918.0099374,640222032.1259117"
2,"1319,1320,1324",1266285970.9764824,0.9670367904798898,"192112990.59985813,713499985.3158221,360672995.0608021"
3,"1319,1320,1325",1482359172.1231158,0.9703091421885085,"170545791.81429788,661890704.6121826,649922675.6966352"
4,"1319,1320,1327",1531192491.5644808,0.9963705000390402,"210817864.8134931,614393525.337391,705981101.4135966"
5,"1319,1320,1329",1293284460.7816677,0.6806605217348095,"278751251.3835991,962158226.3648727,52374983.03319587"
6,"1319,1320,1330",1259331708.936465,0.6435966082219207,"335860419.07700485,907617829.6526716,15853460.206788598"
7,"1319,1320,1331",1275109522.9993863,0.9291470537257877,"145099189.5316925,397580738.5983108,732429594.8693831"
8,"1319,1320,1334",1466518790.676066,1.0180729152349133,"309624445.5352322,770208755.0440058,386685590.0968281"
9,"1319,1320,1337",1293409420.2955866,0.7323906085477369,"265090239.73631352,944157871.8966709,84161308.66260222"
10,"1319,1320,1338",1451897406.3141828,0.914299903941234,"257896242.36474824,915704687.9045337,278296476.0449008"
11,"1319,1320,1336",1286539693.8329659,0.6426060160672311,"266142943.86419675,979731513.337105,40665236.63166398"
12,"1319,1320,1538",978823921.2243845,0.9660924975103199,"110268671.80671738,454867122.76740956,413688126.6502575"
13,"1319,1321,1323",1592875016.295918,0.934363131622421,"405202919.1310572,230901716.13608557,956770381.0287753"
14,"1319,1321,1324",1160180410.687232,1.0607920193705977,"411253872.7002407,249196580.4082069,499729957.5787846"
15,"1319,1321,1325",1474956321.5517764,0.9119647748414097,"317337051.8079222,229957443.7242835,927661826.0195708"
16,"1319,1321,1327",1531296930.6467898,0.9710004973647274,"432535794.97636205,238912687.05020875,859848448.620219"
17,"1319,1321,1329",1063103772.3443799,0.7836396181367278,"702886724.5169959,306091903.20805967,54125144.61932436"
18,"1319,1321,1330",1043869079.6227394,0.6615427108834153,"742122860.7692934,285637726.9787173,16108491.874728719"
19,"1319,1321,1331",1230764427.2643008,0.8267606817541089,"234644919.1409483,147635175.33767107,848484332.7856814"
20,"1319,1321,1334",1399318896.6202326,1.0432103350548325,"623123190.0820765,264921310.14196452,511274396.39619154"
21,"1319,1321,1337",1090463742.6401665,0.9394668194739859,"639792160.8369192,302960414.6605101,147711167.1427372"
22,"1319,1321,1338",1306246113.0214567,1.0193497734450263,"686694872.4428648,287432703.99385583,332118536.584736"
